-0.015,10.000
0.045,16.400
0.105,21.100
0.165,25.000
0.225,29.500
0.295,32.000
0.365,41.000
0.435,45.000
0.505,52.000
0.575,62.600
0.625,67.000
0.675,71.000
0.725,75.200
0.775,77.800
0.825,79.800
0.880,81.300
0.935,83.000
0.990,84.700
1.045,88.100
1.100,90.200
1.145,91.000
1.190,89.800
1.235,97.600
1.280,99.800
1.325,103.000
1.380,104.200
1.435,104.400
1.490,106.800
1.545,109.900
1.600,117.200
1.650,116.200
1.700,118.100
1.750,118.700
1.800,118.300
1.850,118.700
1.975,118.200
2.100,120.000

